,Temperature,T Max,T Min
2019-02-10,16.8,19.4,15.0
2019-02-11,16.7,18.7,15.6
2019-02-12,20.7,26.1,16.7
2019-02-13,18.9,20.8,17.9
2019-02-14,19.1,20.9,18.2
2019-02-15,21.3,28.3,18.6
2019-02-16,18.0,19.8,16.2
2019-02-17,16.8,18.9,15.0
2019-02-18,20.3,23.9,17.3
2019-02-19,20.7,26.8,16.4
2019-02-20,23.0,29.5,19.5
2019-02-21,21.4,25.7,19.6
2019-02-22,17.8,19.7,15.4
2019-02-23,14.5,15.5,13.7
2019-02-24,15.4,15.9,14.5
2019-02-25,17.3,19.9,15.8
2019-02-26,18.1,20.5,16.8
2019-02-27,20.8,25.5,17.3
2019-02-28,18.8,20.9,17.5
