,Temperature,T Max,T Min
2019-02-18,24.5,28.3,20.3
2019-02-19,26.2,29.7,23.0
2019-02-20,26.2,29.2,23.4
2019-02-21,26.0,29.2,23.2
2019-02-22,23.8,28.8,20.6
2019-02-23,22.2,25.4,18.8
2019-02-24,22.3,26.1,20.0
2019-02-25,21.9,26.2,18.7
2019-02-26,22.9,26.4,19.5
2019-02-27,24.0,28.4,20.3
2019-02-28,25.4,29.4,22.2
